;Оригинал;Перевод на казахский;Перевод на русский
108;Кішкентай 5 айлық [Имя] цирроз печени койып отыр,жедел түрде пересадка печени жасау. қажет!!!Хотя бы историяға алып кете аласыз ба!!!;Кішкентай 5 айлық [Есімі] бауыр циррозы диагнозын койып отыр, жедел түрде бауыр трансплантациясын жасау қажет!!! Тым болмаса тарихқа алып кете аласыз ба!!!;У маленького 5-месячного [Имя] диагностирован цирроз печени и ему срочно необходима пересадка печени!!! Можете хотя бы в сторис забрать!!!
109;Арест шешемін мфо/банк •Бөліп төлеуге графикке қоямын •история оналту,жеке обучение Консультация тегін;МҚҰ/банк тыйым салу шешемін бөліп төлеу кестесіне қоямын, несие тарихын оңалту, жеке оқыту, кеңес беру тегін.;Решение об аресте МФО/банка, перевод на график рассрочки, исправление кредитной истории, индивидуальное обучение, консультации бесплатно.
110;"Сабира сәлем! Марафонға қатысайын десем""модельное лицо""менде эл. почта ашылмайды, соны сұрайын дегенім марафонды телеграмға жіберема? Ватсапқа ма? Өздері жауап бермейді. Сізге қалай жібеиіп еді?";"Сәбира, сәлем! ""Модельдік бет"" деген марафонға қатысайын десем, менде эл. поштам ашылмайды, соны сұрайын дегенім, марафонды телеграмға жібере алады ма? Уатсапқа ма? Өздері жауап бермейді. Сізге қалай жіберіп еді?";"Сабира привет! Хотела принять участие в марафоне ""модельное лицо"", но у меня не открывается эл. почта, это и хотела спросить, могут ли они отправить марафон в Телеграм? Или на Ватсап?  Сами они не отвечают. Как они отправили его вам?"
111;Американская и каз мама новые серии қайда;Америкалық және қазақ мамасы жаңа эпизодтары қайда?;Американская и казахская мама где новые серии.
112;Сабира, личкага отиниз. Қазақты басына ын орысы калды, енди уйгырдар шықты. Сколько нам еще надо терпеть унижения? Я вам отправлю скриншоты в личку, пожалуйста, освятите этот вопрос, вы же медийная личность. Намыс жок болганы ма бизде? Сколько будем молчать?;Сәбира, жеке хабарламаларға өтіңіз. Қазақты басынатын орысы қалды, енді уйғырлар шықты. Біз қорлыққа әлі қанша шыдауымыз керек? Мен сізге скриншоттарды жеке хабарламаларға жіберемін, осы сұрақты жарыққа шығарыңызшы, сіз медиа тұлғасыз ғой. Намыс жоқ болғаны ма бізде? Біз қаншалықты үндемей жүреміз?;Сабира, перейдите в личку. На голову казахов остались русские, теперь еще уйгуры. Сколько нам еще надо терпеть унижения? Я вам отправлю скриншоты в личку, пожалуйста, освятите этот вопрос, вы же медийная личность. Разве нет чести у нас? Сколько будем молчать?
113;Точно биз сондаймыз еще еки аякты ба косу керек ;Әрине біз сондаймыз тағы, екі аяқты да қосу керек.;Точно мы такие надо еще добавить две ноги
114;[имя] әпке өтініш сообщениамды оқыңыз балама шұғыл түрде операция жасау керек болып тұрған еді.Түркия мемлекеттінде;[есімі] әпке, өтініш хабарламамды оқыңыз, балама шұғыл түрде операция жасау керек болып тұрған еді. Түркия мемлекеттінде;[имя] сестра пожалуйста, прочитайте мое сообщение, моему ребенку нужно сделать операцию в срочном порядке. В Турции.
115;Акаунт сатылады срочна;Тіркелгі шұғыл түрде сатылады.;Аккаунт продаётся срочно.
116;ПАЛ АШУ(ЯҒНИ БОЛЖАМ), ЖОЛ АШУ, АЖЫРАСҚАНДАРДЫ ҚОСУ, ҚҰРСАҚ КӨТЕРГІЗУ, СҮЙГЕНДІ ҚАЙТАРУ, ҮЙ, МАШИНА(Т.Б ЗАТТАР) САТУҒА. КЕЗ-КЕЛГЕН ҚИЫН СИТУАЦИЯДАН ШЫҒУҒА КӨМЕКТЕСЕМІН. НӘТИЖЕ 100%. БАРЛЫҚ СҰРАҚТАР БОЙЫНША, ДАЙРЕКТКЕ;ПАЛ АШУ (ЯҒНИ БОЛЖАМ), ЖОЛ АШУ, АЖЫРАСҚАНДАРДЫ ҚОСУ, ҚҰРСАҚ КӨТЕРГІЗУ, СҮЙГЕНДІ ҚАЙТАРУ, ҮЙ, КӨЛІК (Т.Б ЗАТТАР) САТУҒА. КЕЗ-КЕЛГЕН ҚИЫН ЖАҒДАЙДАН ШЫҒУҒА КӨМЕКТЕСЕМІН. НӘТИЖЕ 100%. БАРЛЫҚ СҰРАҚТАР БОЙЫНША, ЖЕКЕ ХАБАРЛАМАЛАРҒА;ГАДАНИЕ (ТО ЕСТЬ ПРЕДСКАЗАНИЯ), ОТКРЫТЬ ДОРОГУ, ВОССОЕДИНЕНИЕ РАЗВЕДЕННЫХ, ПОМОЧЬ ЗАБЕРЕМЕНЕТЬ, ВЕРНУТЬ ЛЮБИМОГО, ПРОДАТЬ ДОМ, МАШИНУ (ТО ЕСТЬ ВЕЩИ). ПОМОГУ ВЫЙТИ ИЗ ЛЮБОЙ СЛОЖНОЙ СИТУАЦИИ. РЕЗУЛЬТАТ 100%. ПО ВСЕМ ВОПРОСАМ, В ЛИЧНЫЕ СООБЩЕНИЯ.
117;Жаңадан шыққан киноларды онлайн көруге доступ бар;Жаңадан шыққан киноларды онлайн көруге жол бар.;Есть доступ смотреть новые фильмы онлайн.
118;Кірем десеніз карточка номерін жіберемін, төлемнен соң курсқа доступ жіберемін + үйрену жолында алып, үйренесіз;Кірем десеңіз карточка номерін жіберемін, төлемнен соң курсқа рұқсат жіберемін + үйрену жолын да алып үйренесіз;Если вы хотите посмотреть, я пришлю вам номер карты, после оплаты я пришлю вам доступ на курс + вы узнаете, как учиться.
119;"""Қызғану вошел в чат"" постқа шығару керек";"""Қызғану чатқа кірді"" жазбға шығару керек";"""Ревность вошла в чат"" нужно записать в пост."
120;Кәзір бізде бізде Акция жүрып жатыр + Консультация тегін + Назначения жасап береміз толығырақ білгіңіз келсе осы номерге хабарласыңыздар;Кәзір бізде науқан жүріп жатыр + Кеңес беру тегін + Тағайындау жасап береміз толығырақ білгіңіз келсе осы номерге хабарласыңыздар;У нас действует акция + консультация бесплатно + Делаем назначения если хотите узнать больше звоните по этому номеру.
121;Скоро супер мамалар арналган «СуперсилаМамы»деген дәрі шгады ,ждем сол дәріні;Жақын арада супер аналарға арналған «Ананың супер күші» деген дәрі шығады , сол дәріні күтеміз;Скоро выйдет препарат под названием «Супер сила Мамы» для супер мам, мы ждем этот препарат.
122;"Жумысшылар кажет‼️‼️
Коментария жазу, гив менеджер жане осындай рекламадан келген адамдарга жауап берип отыратын комекши кажет. 3 турли жумыс.";"Жұмысшылар қажет!
Пікірлер жазу, гив менеджер және осындай жарнамадан келген адамдарға жауап беріп отыратын көмекші қажет. 3 турлі жұмыс.";"Требуются рабочие!
Писать комментарии, гив менеджер и помощник который будет отвечать людям, которые приходят от такой рекламы. 3 вида работ."
123;15 шығайын деп жатқанда , 14ке реклама жасаған қызық екен.... а ролик как всегда актерское мастерство на высшем уровне;15 шығайын деп жатқанда , 14 ке жарнама жасаған қызық екен. Ал бейне ролик әдеттегідей актерлік шеберлік жоғары деңгейде.;когда собрались выпустить 15, интересно, что сделали рекламу для 14. А видеоклип, как обычно, на высоком уровне актерского мастерства.
124;Фляяяя! Ты определись, бір жеріне жауап бере алмайтын қатын ұқсап, біресе айфон, біресе басқа тлф? Ақша төлесе болды ма? Любой затты реклама жасай бересиндер ма?;Пілә! Сен шешшейші, бір жеріне жауап бере алмайтын қатын ұқсап, біресе айфон, біресе басқа телефон? Ақша төлесе болды ма? Кез келген затты жарнама жасай бересіңдер ме?;Бля! Ты определись, как баба которая не можеть отвечать за свое одно место, то айфон, то другой телефон? Лишь бы деньги заплатили? Любую вещь готовы рекламировать?
125;370тің гранатовый сок 450ге қымбаттап кеткен ғой қайдағы арзан;370 тің анар шырыны 450-ге дейн қымбаттап кеткен ғой, қайдағы арзан.;Гранатовый сок с 370 подорожал до 450, какое это дёшево.
126;Екі Том и Джерри люблю их;Екі Том мен Джерри жаксы көрем оларды.;Два Том и Джерри люблю их.
127;лучшая гой;күшті ғой.;лучшая же.
128;WORD та жумыс жасап, текст теру аркылы табыс тапкыныз келсе бизге хабарласыныз! Табыс кун сайын!;Вордта жұмыс жасап, мәтін теру арқылы табыс тапкыңыз келсе бізге хабарласыңыз! Табыс күн сайын!;Если вы хотите зарабатывать набирая текст, работая в WORD, обращайтесь к нам! Деньги каждый день!
129;ІЗГЕ ТІРКЕЛІҢІЗДЕР! КОСМЕТИКА, ШОППЕРЛЕР, ЗАКОЛКАЛАР, СУМКАЛАР ТИІМДІ БАҒА+МЫҚТЫ КАЧЕСТВО!!!;БІЗГЕ ТІРКЕЛІҢІЗДЕР! КОСМЕТИКА, ШОППЕРЛЕР, ШАШ КЫСТЫРҒЫШТАР, СӨМКЕЛЕР ТИІМДІ БАҒА+МЫҚТЫ САПА!!!;ЗАРЕГИСТРИРУЙТЕСЬ У НАС! КОСМЕТИКА, ШОППЕРЫ,  ЗАКОЛКИ, СУМКИ ВЫГОДНАЯ ЦЕНА+ОТЛИЧНОЕ КАЧЕСТВО!!!
130;Реклама ағонь ғой.....но они хоть убей туда не пойдут. Да даже и не ходили, просто деньги за рекламу;Жарнама от қой, бірақ олар, ең болмағанда, ол жаққа бармайды. Олар тіпті бармады да, тек жарнама үшін ақша;Реклама огонь же, но они хоть убей туда не пойдут. Да даже и не ходили, просто деньги за рекламу.
131;Үйде босқа жатқан кимейтін киімдеріңізді, кез-келген затты біздің парақшада сата аласыз, ПОДПИСАТЬСЯ етіңіз және дайректке жазыңыз;Үйде босқа жатқан кимейтін киімдеріңізді, кез-келген затты біздің парақшада сата аласыз, БІЗГЕ ТІРКЕЛІҢІЗДЕР және жеке хабарламаларға жазыңыз;Вы можете продать свою ненужную дома одежду, любую вещь на нашей странице, ЗАРЕГИСТРИРУЙТЕСЬ У НАС и напишите в личные сообщения.
132;Рубашка ішіне көйлек кию модно ма қазір?;Жейде ішіне көйлек кию сәнді мә қазір?;Сейчас модно носить платье внутри рубашки?
133;Ваша первая беременность которую Вы не скрываете 😍 тьфу тьфу тіл көзден сақтасын ;Сіз жасырмайтын алғашқы жүктілігіңіз бә? Тфә, тфә, тіл көзден сақтасын.;Ваша первая беременность которую Вы не скрываете. Тьфу, тьфу, береги вас от сглаза.
134;Осылай простоой жерге барып, профессиональный и профессионально фотога калай тусе каласыздар 😭👍 шедевр полелда журген инальянкалар сиякты;Осылай жай ғана жерге барып, кәсіби түрде және кісәби фотоға қалай түсе қаласыздар? Жауһар! Егіндікте жүрген италия қыздары сияқты.;Как можно пойти в такое простое место и сделать профессиональное фото? Шедевр, как итальянки на поле.
135;Орысша перевод керемет прям соз жоқ;Орысша аудармасы керемет, сөз жоқ.;Русский перевод отличный, прямо нет слов.
136;Какие красавицы ма шаа Аллах сұлусыздар;Қандай сұлулар, мәшәАлла, сұлусыздар.;Какие красавицы, машаАллах, вы красивы.
137;Екеуіңіз де қатты ұнайсыздар қарапайым, еще и с юмором. Харизма топ;Екеуіңіз де қатты ұнайсыздар, қарапайым, сондай-ақ әзілдерің де бар. Харизмаларың жоғары.;Вы оба мне очень нравитесь простые, еще и с юмором. Харизма на высоте.
138;Повезло абысынмен;Жолы болды абысынмен.;Повезло с невесткой.
139;Абысын тату болса, ас көп деп бекер айтпаған . Молодцы достықтарың мәнгілік болсын;Абысын тату болса, ас көп деп бекер айтпаған. Жарайсыңдар достықтарың мәнгілік болсын.;Не зря говорят, что если невестки дружны, то в доме много еды. Молодцы, пусть дружба ваша будет вечной.
140;От души осындай абысын бұйырсын мағанда;Шын жүректен осындай абысын бұйырсын мағанда.;От души пусть и меня будет такая невестка.
141;"Мадина с такой любовью смотрит на Сабиру на 2,3 фотках😻
Осындай абысынские отношения буйырсын";Мәдинә 2,3 суреттерде Сәбираға сошалықты сүйіспеншілікпен қарап тұр. Осындай абысын аралық қарым қатынас бұйырсын.;Мадина с такой любовью смотрит на Сабира на 2,3 фотографиях. Пусть такие отношения будут между невестками.
142;Фигурасы от боп тұр молодец аман есен босанып ал;Дене бітімі от болып тұр, жарайсың, аман есен босанып ал.;Фигура огонь у тебя, молодец, желаю легких родов.
143;Қыздар, әпкелер! Тойға, қонақтыққа киген көйлектеріңіз немесе тағы басқа киімдеріңіз почти жаңа әрі тап-таза болып шкафта ілулі тұр ма және оны қайта кимейсіз бе? Онда оны сатып және төмен бағада өзіңізге керек басқа да киімдерді сатып алыңыз. ;Қыздар, әпкелер! Тойға, қонақтыққа киген көйлектеріңіз немесе тағы басқа киімдеріңіз жаңа дерлік әрі тап-таза болып шкафта ілулі тұр ма және оны қайта кимейсіз бе? Онда оны сатып және төмен бағада өзіңізге керек басқа да киімдерді сатып алыңыз.;Девочки, сестры! Ваши свадебные, гостевые платья или другие наряды, будучи почти новыми и чистыми висят в шкафу, и вы не будете носить их снова? Тогда продайте их и купите другую одежду, которая вам нужна, по низкой цене.
144;осы екеуине коз тимесин 😂😂созге келип калмандаршв 😂😂слишком подрушка болып кеттиндер ;Осы екеуіне көз тимесін, сөзге келіп қалмаңдаршы, тым дос болып кеттіңдер.;Не сглазили бы этих двойх, не ссорьтесь, вы стали хорошими подружками.
145;Пузик корнп капты я;Қарының көрініп калыпты.;Животик твой уже видно.
146;езинде базарда стояли на картонной бумаге и примеряли вещи с занавесом, от которой не было толку, уялганнан мамага жабуды сурайтынбыз😂😂 сол кезде мамаларымыз катырадогой, сен кимге керексин тез тез киын бол деушеди🤣🤣 и вещи на вырост тоже брали))));Кезінде базарда  картон қағазда тұрып, пайдасы жоқ перденің артында заттарды киіп көруші едік, ұялғаннан мамаға жабуды сұрайтынбыз, сол кезде мамаларымыз қатырады ғой, сен кімге керексің тез тез киін бол деуші еді, өскелең заттарды да алын еді.;В свое время на рынке стояли на картонной бумаге и примеряли вещи за занавеской, от которой не было толку, от смущения просили маму закрыть, в это время мамы наши отмораживали, кому ты нужен, быстро быстро одевайтесь говорили, и вещи на вырост тоже брали.
147;Казахская болмаганда кайндайсын енді?;Қазақтікі болмағанда қандайсың енді?;Если не казахская, то какая ты?
148;Аперген кофта юбканы 2жыл киетин едикеой🫢 на вырос аперетин. Дау болспда киіп журе беретинбиз;Әперген кофта юбканы 2 жыл киетін едік қой, өскелең әперетін. Дау болса да киіп жүре беретінбіз.;Купленную кофту юбку мы по 2 года носили.  На вырост покупали. Даже если и были споры продолжали носить.
149;Қырылып жүріп магаз аралайтын күн жақын дисн😃Уже сентябрь болп қалды ауыр ауыр;Қырылып жүріп дүкен аралайтын күн жақын дейсің. Қыркүйек болп қалды ауыр ауыр.;Говоришь день когда будем во все тяжкие бродить по магазинам близок. Уже сентябрь наступил тяжело тяжело.
150;Келесі жылы как раз болады;Келесі жылы дәл болады.;В следующем году будет как раз.
151;Дәу болғаны жақсығой, осы возрастта балалар тез өседі. Свободно жіреді, еш жері қыспай. Өзімізде ОверСайд деп екі есе улкен футболкаларды киіп аламыз;Дәу болғаны жақсы ғой, осы жаста балалар тез өседі. Еркін жүреді, еш жері қыспай. Өзімізде үлкен өлшем деп екі есе үлкен футболкаларды киіп аламыз.;Хорошо же, что большой, в этом возрасте дети быстро растут. Свободно будет ходить, нигде не будет давить. Мы тоже берем ОверСайз футболки которые в два раза больше и носим.
152;Бізге наоборот бір жыл шадаса соған рахмет деп,туп-тура қылып әперетін😄 салпылдатып біреуден қалған құсатпай, шап-шақ қылып алындар дитін;Бізге керісінше бір жыл шыдаса соған рахмет деп, тұп-тура қылып әперетін, салпылдатып біреуден қалғанға ұқсатпай, шап-шақ қылып алыңдар дейтін.;Нам наоборот, если выдержит хотя бы год и на том спасибо, брали в размер, чтобы не болталось как поношенные от кого-то, говорили берите чтобы подходило точь в точ.
153;Новый кухня кутты болсын;Жаңа ас үй құтты болсын.;Поздравляю с новой кухней.
154;Менде тура осылай алып бердім, тез өсесіңдер деп! Детская трамва;Менде тура осылай алып бердім, тез өсесіңдер деп! Балалық жарақат.;Я точно так купила, что быстро вырастешь! Детская травма.
155;Келесі жылы как раз келеді😅 мамамыз солай айтып алып беретін;Келесі жылы дәл келеді, мамамыз солай айтып алып беретін.;В следующем году точно подойдет, мама так говорила и покупала.
156;АНАМ ҚАЙТЫС БОЛҒАН ӘКЕМ ТАСТАП КЕТТІ. ЕКІ ІНІМ БІР ҚАРЫНДАСЫМ БАР.АЯҒЫМДЫ БОЛГАРКАМЕН ЖАРАҚАТТАА АЛҒАН ЕДІМ. СТОРИСКЕ БАРЛЫҒЫН ЖАЗЫП ШЫҒАРЫП ҚОЙДЫМ КӨМЕКТЕСЕ АЛАСЫЗДАР МА? КВ ПЛАТА ТӨЛЕЙ АЛМАЙ ҚАЛЫП ЕДІМ ОСЫ АЙҒА . АЛЛА РАЗЫ БОЛСЫН БАРШАМЫЗҒА. ПАРАҚШАМА КІРІҢІЗШІ.;АНАМ ҚАЙТЫС БОЛҒАН, ӘКЕМ ТАСТАП КЕТТІ. ЕКІ ІНІМ БІР ҚАРЫНДАСЫМ БАР. АЯҒЫМДЫ БОЛГАРКАМЕН ЖАРАҚАТТАП АЛҒАН ЕДІМ. СТОРИСКЕ БАРЛЫҒЫН ЖАЗЫП ШЫҒАРЫП ҚОЙДЫМ КӨМЕКТЕСЕ АЛАСЫЗДАР МА? ЖАЛДАУ АҚЫСЫН ТӨЛЕЙ АЛМАЙ ҚАЛЫП ЕДІМ ОСЫ АЙҒА. АЛЛА РАЗЫ БОЛСЫН БАРШАМЫЗҒА. ПАРАҚШАМА КІРІҢІЗШІ.;МАМА УМЕРЛА, ПАПА БРОСИЛ. У МЕНЯ ЕСТЬ ДВА БРАТА И ОДНА СЕСТРА. Я ПОВРЕДИЛ НОГУ БОЛГАРКОЙ. В СТОРИС  ВСЕ НАПИСАЛ, НЕ МОГЛИ БЫ ВЫ ПОМОЧЬ? Я НЕ СМОГУ ОПЛАТИТЬ КВАРТПЛАТУ ЗА ЭТОТ МЕСЯЦ . ДА БУДЕТ ДОВОЛЕН АЛЛАХ. ПОЖАЛУЙСТА, ЗАЙДИТЕ НА МОЮ СТРАНИЦУ.
157;емлекеттік қайтарымсыз грант 5 млн тенгеге полный сопровождение жасаймын. Сертификат алу, бизнес план жазу, документтер. Гарантия! Міндетті түрде грант ұтасыз!;Мемлекеттік қайтарымсыз грант 5 млн тенгеге толық  қолдау жасаймын. Сертификат алу, бизнес план жазу, құжаттар. Кепілдік! Міндетті түрде грант ұтасыз!;Делаю полное сопровождение государственного безвозмездного гранта в 5 млн тенге. Получение сертификата, написание бизнес-плана, документы. Гарантия! Обязательно выиграете грант!
158;Бір размер үлкен қылып алып беретін. Қәзір өзімде мама болдым. Солай бір размер үлкенін аламын.;Бір өлшем үлкен қылып алып беретін. Қәзір өзімде ана болдым. Солай бір өлшем үлкенін аламын.;Мне покупали на один размер больше. Я сама стала мамой. И теперь покупаю на один размер больше.
159;ни чё 11 бітіргенше киеді ғо дейтін ед;Түк болмайды 11 бітіргенше киеді ғой дейтін еді;Ничего будет носить пока не закончит 11 ый говорили они.
160;7клласс оқып жүргенде үлкен қылып алып беретін ни че 11классқа дейін киесің деп потом реально киіп шығасың ғой;7 сынып оқып жүргенде үлкен қылып алып беретін түк болмайды 11 сыныпқа дейін киесің деп. Сосын шынымен киіп шығасың ғой;Когда учился в 7 классе покупали большой,  будешь носить до 11 класса говорили. А потом реально носишь.
161;Ой чё такой 90 на насу, 😁😁😁 баяғыда анамыз нече келесі жылы тура болып кетеді деп жылда 1-2 размер алып беретін еді ғой. Келесі жылыға жетпейтін еді тозып кететін еді;90-ыншы жылдардағыдай ма, баяғыда анамыз түк болмайды келесі жылы дәл болып кетеді деп жылда 1-2 өлшем алып беретін еді ғой. Келесі жылыға жетпейтін еді, тозып кететін еді;Ой, что 90-е годы на носу, давно мама каждый год говорила ничего, в следующем году будет как раз, и брала на 1-2 размера больше. Не хватило на следующий год, изнашивался.
162;Комментарийлерді оқысам көбісі өздері киім алыпты гой мен әпкелерімнің ескісін киетінмін😂😂😂😂 хоть ұнасын ұнамасын киесің дейді и все кимесең жалаңаш бар депше;Пікірлерді оқысам көбісі өздері киім алыпты ғой мен әпкелерімнің ескісін киетінмін ұнасын ұнамасын киесің болды дейді, кимесең жалаңаш бар дейтін.;Читая комментарий многие говорят, что они сами брали одежду я же носила старую  моих сестер, нравится не нравится говорили будешь носить и все, если ты не будешь носить говорили будешь ходить голый
163;Размер размерімен киім аламын. Потому что пока балалар өсем дегенше киімнің дал далын шығарып жібереді. 2,3 жастарында күшті еді. На вырост аласын. Әп әйбат киіп жүре беретін;Өлшем өлшемімен киім аламын. Себебі балалар өсем дегенше киімнің дал далын шығарып жібереді. 2,3 жастарында күшті еді. Өскелең аласың. Әп әйбәт киіп жүре беретін.;Беру одежду по размеру. Потому что, пока дети вырастут, одежду они испортят. Хорошо было в возрасте 2,3 года. Берешь на вырост. Как прекрасно носили.
164;Біз ініме дәл осылай сумка әпергенбіз 7 сынып оқып жүргенде. Қазір ол 22де, әлі ұстап жүр сол сумканы. Сендер маған, киім, аяқкиімді былай қойғанда, сумканың өзін на вырост әперген екенсіңдер ғой, сумка енді шақ келді дегенде, жарылып күлдік;Біз інімізге дәл осылай сөмке әпергенбіз 7 сынып оқып жүргенде. Қазір ол 22де, әлі ұстап жүр сол сөмкені. Сендер маған, киім, аяқкиімді былай қойғанда, сөмкенің өзін өскелең әперген екенсіңдер ғой, сөмке енді шақ келді дегенде, жарылып күлдік.;Мы младшему брату точно так же покупали сумку когда он учились в 7 классе. Сейчас ему 22 года, он все еще использует эту сумку. Когда он сказал, что даже если не учитывать одежду, обувь, то даже сумку ему покупали на вырост, а сумка только стала в пору, мы взорвались от смеха.
165;Мен тұрмыс құрғанда, артымнан әкелетін киімді таңдап жүрсек, апкем бир екі размер дау кып алып жатыр да, толасың ещё көтерсең симай калады киімдерин деп😅ал мен сол бойда толмаым да,қылдырықтай боп арииқ боп журдим, ещё 1жылға дейін котермедим да, общым в итоге кимедим гой сол киімдерди;Мен тұрмыс құрғанда, артымнан әкелетін киімді таңдап жүрсек, апкем бир екі өлшем дәу кылып алып жатыр екен, толасың әлі көтерсең симай калады киімдерің деп, ал мен сол бойда толмадым да, қылдырықтай болып арық болып журдім, енді 1 жылға дейін көтермедім дә, жалпы алғанда кимедім ғой сол киімдерді.;Когда я вышла замуж, мы ходили и выбирали одежду которую мне привезут из дома, и моя сестра оказывается покупала ее на один два размера больше, ты пополнеешь еще, если забеременеешь то одежда не влезет, а я так и не пополнела, ходила худая как волос, еще и до 1 года не могла забеременеть, в общем итоге так и не одевала же ту одежду.
166;Своей воли жок вообще;Өз еркі мүлдем жоқ.;Своей воли нет вообще
167;моя мама туфли брала на размер больше 🤣🤣 ишине вата тыгып журетинбиз;Менің анам туфлиды бір өлшем артық алатын, ішіне мақта тығып жүретінбіз.;моя мама туфли брала на размер больше, мы ложили вату внутрь и ходили.
168;Это ещё цветочки қалған балалар сабаққа барғанда қызықтың көкесі шығады;Бұл тек бастамасы, қалған балалар сабаққа барғанда қызықтың көкесі шығады.;Это ещё цветочки, когда остальные дети пойдут в школу, начнется настоящее веселье.
169;Сейчас модно оверсайз деген;Қазір оверсайз деген сәнге енді.;Сейчас модно оверсайз.
170;Автоцонның права тест жауаптары сатылады🔥жаңа базадағы сұрақтар анимационный(видео)түрінде 🔥 арзан бағада алам деушілер болса жекеме шығыңыздар ;Автоцонның жүргізу қуәлігінің тест жауаптары сатылады, жаңа базадағы сұрақтар анимациялық (бейне) түрінде, арзан бағада алам деушілер болса жекеме шығыныңыздар.;Продаются ответы на тесы Автоцона на права, вопросы в новой базе в виде (видео) анимации, если кто-то хочет купить подешевле обращайтесь в личку.
171;Если с мамой ходили одеваться на размер больше брали, а если с папой размер в размер , по своему вкусу брали😂😂😂😂 мама уйде коргенде айгайлайтын потом;Егер анаммен киінуге барсақ бір өлшем үлкен алатынбыз, ал егер әкеммен барсақ дәл өлшемді өз қалауымыз бойынша алатынбыз, анам үйде көргенде айғайлайтын сосын.;Если с мамой ходили одеваться на размер больше брали, а если с папой размер в размер , по своему вкусу брали, мама потом когда видела дома, ругалась.
172;Вот эти отмазки, лишь бы енешку удовлетворить 😂 “ой, нормально, на вырост қой, былай кие береді”;Осы жағымпаздық па, тек енеңнің көңілін табу: “ой, жарайды, өскелең ғой, былай кие береді”;Вот эти отмазки, лишь бы свекровь удовлетворить: “ой, нормально, на вырост же, так и будет одевать”
173;Аналарымыз оверсайз моданы сол кезде білген ғой;Аналарымыз оверсайз сәнді сол кезде білген ғой;Наши мамы уже тогда знали моду на оверсайз.
174;Мои кидают ссылку в чат отбасы, семья, мои дети,туыскандар😂🤷‍♀️ и еще за столом спрашивают: вы прослушали или нет?!🤭😂 если нет то: телефон азаннан кешке деин колдарыннан туспейди, не карап журсиндер осы а? ;"Менікілер ""отбасы"", ""семья"", ""мои дети"", ""туыскандар"" чаттарына сілтемелерді жібереді, сосын үстел үстінде ""сіз тыңдадыңыз ба?!"" деп сұрайды, егер жоқ десең: ""телефон азаннан кешке дейін қолдарыңнан түспейді, не қарап жүрсіңдер осы а?""";"Мои кидают ссылку в чат ""отбасы"", ""семья"", ""мои дети"", ""туыскандар"" и еще за столом спрашивают: ""вы прослушали или нет?!"" если нет то: ""вы телефон с утра до вечера не отпускаете с рук, что вы смотрите а?"""
175;Шүкір,моя мама не манипулирует так) Мен балаларыма берген тәрбиеге 100пайыз сенемін,мен үшін,менің көңілім үшін өмір сүргендерін қаламаймын деген позицияда.;Шүкір, менің анам осылай манипуляция жасамайды. Мен балаларыма берген тәрбиеге 100 пайыз сенемін,мен үшін,менің көңілім үшін өмір сүргендерін қаламаймын деген ойды ұстанады.;"Слава богу, моя мама не манипулирует так) Ее позиция: ""Я на 100 процентов уверена в воспитании своих детей, я не желаю чтобы они жили ради меня или ловили мое настроение""."
176;У нас у казахов всегда так , намеками , то журттын баласы !!!! Почему тура айтпаска 😄😄😄Дим да;Бізде қазақтарда үнемі осылай, ыммен, немесе жұрттың баласы!!!! Неге тура айтпасқа деймін дә;"У нас у казахов всегда так , намеками, то ""вот у соседей дети""!!!! Почему бы не сказать прямо."
177;"Арест шешу
🔓Внутренний арестті шешіп жаңа график алу";Бұғаттауды шешу. Ішкі бұғаттауды шешіп, жаңа кесте алу.;Снять арест. Снятие внутреннего ареста и получение нового графика.
178;Лучше такие намеки, чем журтын баласы.;Осындай ымдар жақсы, жұртың баласы дегенше.;"Лучше такие намеки, чем ""вот дети соседей""."
179;Семья деген группа осындайларға толып жатыр еще Тема Келін ене әлі актуалдан түспей тұр;Отбасы деген топ осындайларға толып жатыр әлі. Тақырып Келін ене әлі өзектіден түспей тұр.;"Группа ""Семья"" еще полна на такие вещи. Тема Свекровь невестка еще не уходит из актуального."
180;Особенно енелер;Әсіресе енелер.;Особенно свекровки.
181;менің мамам 1-ші поводпен звондайды;Менің мамам 1-ші себеппен қоңырау шалады.;моя мама звонит по 1-ому поводу.
182;Жүкті әйелдерге баланың жынысын кез келген срокта Ұл👶 немесе қыз👧 екенін анықтап беру. Жоспарлау . Егіз ЖОСПАРЛАУ. ;Жүкті әйелдерге баланың жынысын кез келген мерзімде ұл немесе қыз екенін анықтап беру. Жоспарлау. Егіз ЖОСПАРЛАУ.;Определение пола ребенка мальчик или девочка беременным женщинам на любом сроке. Планирование. ПЛАНИРОВАНИЕ близнецов.
183;Не болды бари «вы беременны» деп, она же уже 100500 лет замужем и любима, мама 2 детей , беременна болса беременна да;Не болды бәрі «сіз жүктісіз бе» деп, ол 100500 жыл бойы үйленген және сүйікті, 2 баланың анасы, жүкті болса жүкті дә.;Почему все говорят «вы беременны», она же уже 100500 лет замужем и любима, мама 2 детей , беременна и беременна.
184;Айттымгой рекламаны жыртады осы кыз деп;Айттым ғой жарнаманы жыртады осы қыз деп.;Я же говорила, что эта девушка специалист в рекламе.
